Crime,3.1625839378882312,907
Romance,3.1562777018393637,1206
TV Movie,3.1481180692209967,87
Thriller,3.148281748166093,1427
Adventure,3.1687090625255814,707
Foreign,3.1139858344079143,271
Drama,3.139121624291452,3724
War,3.114663382606142,231
Documentary,3.074235609323983,503
Family,3.1569054919202837,386
Fantasy,3.142913521900703,463
History,3.1187910458495396,306
Mystery,3.1487693926555482,475
Animation,3.175885456020017,223
Music,3.189047782134767,248
Science Fiction,3.1571636839139874,593
Horror,3.1340202623924744,723
Western,3.2140607181871017,185
Comedy,3.1370494677399536,2113
Action,3.158532929451071,1175
