Romance,3.156277701839363,1206
Western,3.2140607181871017,185
Crime,3.1625839378882312,907
Drama,3.1391216242914504,3724
Action,3.158532929451071,1175
Comedy,3.1370494677399536,2113
Horror,3.134020262392476,723
Music,3.1890477821347667,248
TV Movie,3.148118069220998,87
Science Fiction,3.1571636839139874,593
Animation,3.175885456020015,223
Adventure,3.168709062525581,707
Thriller,3.1482817481660903,1427
History,3.1187910458495405,306
Family,3.1569054919202837,386
Mystery,3.1487693926555482,475
Fantasy,3.1429135219007014,463
Foreign,3.1139858344079143,271
War,3.114663382606141,231
Documentary,3.074235609323985,503
